localTeam,visitorTeam,localGoals,visitorGoals
Uruguay,Argentina,0,6
Argentina,Uruguay,2,3
Belgium,France,3,3
France,Switzerland,1,0
Belgium,France,7,0
Argentina,Uruguay,0,0
France,Belgium,0,5
Uruguay,Argentina,0,2
Argentina,Uruguay,2,1
Belgium,France,1,2
Switzerland,France,1,2
Switzerland,Germany,5,3
France,Belgium,1,2
Uruguay,Argentina,2,2
Argentina,Uruguay,2,1
Argentina,Uruguay,0,1
Belgium,Sweden,2,1
Germany,Switzerland,1,0
Belgium,France,5,2
Argentina,Uruguay,2,1
Uruguay,Argentina,2,2
Argentina,Uruguay,3,1
France,Belgium,0,4
Switzerland,Germany,2,3
Germany,Belgium,0,3
Argentina,Uruguay,4,1
Uruguay,Argentina,3,1
Argentina,Uruguay,1,1
Argentina,Uruguay,2,6
Germany,Switzerland,6,2
Belgium,Germany,2,1
Switzerland,France,5,2
Belgium,France,7,1
Sweden,Germany,2,4
Argentina,Uruguay,0,2
Uruguay,Argentina,2,3
Uruguay,Argentina,1,1
Argentina,Uruguay,2,0
Germany,Sweden,1,3
Uruguay,Argentina,3,0
France,Belgium,1,1
France,Switzerland,4,1
Belgium,Switzerland,9,2
Switzerland,Germany,1,2
Uruguay,Argentina,2,0
Uruguay,Argentina,3,0
Argentina,Uruguay,0,1
Argentina,Uruguay,3,3
Denmark,Germany,3,1
Uruguay,Argentina,1,3
Belgium,France,3,0
Switzerland,France,1,4
Russia,Sweden,1,4
Switzerland,Belgium,1,2
Germany,Switzerland,1,2
Denmark,Sweden,8,0
Argentina,Uruguay,1,1
Argentina,Uruguay,2,1
Argentina,Uruguay,4,0
Argentina,Uruguay,2,0
Sweden,Denmark,0,10
Uruguay,Argentina,1,0
Germany,Denmark,1,4
Uruguay,Argentina,1,0
Belgium,Switzerland,2,0
Belgium,Germany,6,2
France,Belgium,4,3
France,Switzerland,2,2
Sweden,Russia,2,2
Uruguay,Argentina,3,2
Argentina,Uruguay,2,1
Argentina,Brazil,3,0
Argentina,Brazil,0,1
Denmark,Sweden,2,0
Uruguay,Argentina,2,3
Argentina,Uruguay,2,1
Uruguay,Argentina,2,0
Sweden,Denmark,0,2
Denmark,Sweden,2,0
Argentina,Brazil,1,1
Brazil,Uruguay,1,2
Argentina,Uruguay,0,0
